Product_ID,Product_Name,Category,Sub_Category,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Avg_Discount_,Profit_Margin_%,Product_Cost,First_Order_Date,Last_Order_Date,Top_Ordered_Customer_ID,Top_Ordered_Customer_Name,Top_Customer_Orders,Top_Customer_Quantity,Top_Customer_Sales
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,147.06,16.86,10,6,11.67,11.46,130.2,2011-06-11,2014-12-20,AS-630,Ann Steele,1,2,34.2
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,89.66,12.62,4,4,15.0,14.07,77.04,2012-08-22,2014-07-17,AF-885,Art Foster,1,1,26.37
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,7.48,-9.53,1,1,60.0,-127.53,17.01,2013-06-14,2013-06-14,LW-6990,Lindsay Williams,1,1,7.48
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,495.36,200.01,11,5,14.0,40.38,295.35,2011-02-01,2014-11-19,PO-8850,Patrick O'Brill,1,6,309.6
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,36.07,-48.71,2,1,60.0,-135.03,84.78,2013-06-08,2013-06-08,LD-7005,Lisa DeCherney,1,2,36.07
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,803.77,-61.49,19,7,8.57,-7.65,865.26,2011-01-22,2014-11-04,KD-6345,Katherine Ducich,1,4,193.68
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,187.2,57.84,8,5,0.0,30.9,129.36,2013-01-01,2013-11-28,AJ-780,Anthony Jacobs,1,4,93.6
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,54.19,11.59,4,4,32.5,21.39,42.6,2011-02-05,2014-11-14,FM-4290,Frank Merwin,1,1,20.07
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,194.67,-286.68,5,3,63.33,-147.26,481.35,2011-06-06,2014-09-30,SC-10440,Shaun Chance,1,2,86.52
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,66.81,-6.21,2,2,35.0,-9.3,73.02,2014-04-09,2014-04-16,GM-4695,Greg Maxwell,1,1,51.39
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,614.08,4.21,29,10,32.0,0.68,609.87,2011-06-27,2014-12-18,HA-4905,Helen Abelman,1,14,235.54
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,250.05,39.9,5,3,0.0,15.96,210.15,2012-06-13,2014-06-09,MG-8205,Mitch Gastineau,1,2,100.02
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,124.81,-20.18,9,5,28.0,-16.17,144.99,2011-02-11,2014-09-28,RO-9780,Rose O'Brian,1,2,40.26
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,392.85,121.77,9,2,0.0,31.0,271.08,2011-12-02,2014-06-06,EB-3750,Edward Becker,1,8,349.2
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,1003.02,30.06,2,1,0.0,3.0,972.96,2014-09-19,2014-09-19,SR-10740,Steven Roelle,1,2,1003.02
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,319.77,121.5,1,1,0.0,38.0,198.27,2012-03-19,2012-03-19,LM-7065,Liz MacKendrick,1,1,319.77
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,3360.21,134.4,7,2,0.0,4.0,3225.81,2011-12-24,2014-09-03,JF-5415,Jennifer Ferguson,1,6,2880.18
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,212.08,-303.02,2,2,65.0,-142.88,515.1,2014-06-18,2014-12-27,MS-7830,Melanie Seite,1,1,121.19
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,7371.27,2358.42,23,3,0.0,31.99,5012.85,2012-03-20,2014-07-25,PJ-9015,Pauline Johnson,1,14,4486.86
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,364.43,-546.73,4,1,70.0,-150.02,911.16,2014-03-11,2014-03-11,BS-1755,Bruce Stewart,1,4,364.43
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,285.25,-551.51,2,2,70.0,-193.35,836.76,2011-06-23,2011-08-02,BP-1230,Benjamin Patterson,1,1,142.62
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,3075.81,-2460.81,9,2,35.0,-80.01,5536.62,2012-02-13,2014-01-28,JC-6105,Julie Creighton,1,8,2171.16
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,636.6,261.0,2,2,0.0,41.0,375.6,2011-12-10,2013-04-03,JK-5205,Jamie Kunitz,1,1,318.3
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables,2058.0,946.68,4,1,0.0,46.0,1111.32,2013-01-23,2013-01-23,JL-5835,John Lee,1,4,2058.0
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,568.57,-293.81,3,3,40.0,-51.68,862.38,2011-06-02,2014-09-24,DB-3615,Doug Bickford,1,1,315.87
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,518.4,67.38,1,1,0.0,13.0,451.02,2011-10-07,2011-10-07,RL-9615,Rob Lucas,1,1,518.4
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Furniture,Tables,2011.92,925.44,4,1,0.0,46.0,1086.48,2012-06-14,2012-06-14,JP-6135,Julie Prescott,1,4,2011.92
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,Tables,531.18,90.3,1,1,0.0,17.0,440.88,2013-02-07,2013-02-07,MH-7620,Matt Hagelstein,1,1,531.18
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Furniture,Tables,315.75,129.45,1,1,0.0,41.0,186.3,2013-11-09,2013-11-09,CP-2085,Cathy Prescott,1,1,315.75
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,923.76,249.39,1,1,0.0,27.0,674.37,2014-09-30,2014-09-30,MH-7455,Mark Hamilton,1,1,923.76
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Furniture,Tables,1070.16,321.0,2,1,0.0,30.0,749.16,2014-12-13,2014-12-13,NG-8430,Nathan Gelder,1,2,1070.16
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Furniture,Tables,984.18,344.46,2,1,0.0,35.0,639.72,2014-04-02,2014-04-02,JD-5895,Jonathan Doherty,1,2,984.18
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",Furniture,Tables,1248.91,-1779.77,6,1,60.0,-142.51,3028.68,2014-12-26,2014-12-26,JG-5115,Jack Garza,1,6,1248.91
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Furniture,Tables,942.06,-1107.12,7,2,35.0,-117.52,2049.18,2011-05-31,2014-09-05,SV-10815,Stuart Van,1,6,605.61
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,Tables,925.23,305.31,1,1,0.0,33.0,619.92,2014-09-18,2014-09-18,AJ-945,Ashley Jarboe,1,1,925.23
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Furniture,Tables,694.39,178.51,2,2,30.0,25.71,515.88,2013-06-14,2013-06-26,MS-7980,Michael Stewart,1,1,495.99
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Furniture,Tables,1842.66,884.46,2,1,0.0,48.0,958.2,2014-08-22,2014-08-22,CC-2685,Craig Carroll,1,2,1842.66
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,2668.05,853.65,5,2,0.0,32.0,1814.4,2011-09-08,2013-09-02,DB-3360,Dennis Bolton,1,4,2134.44
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,4442.64,103.8,11,4,5.0,2.34,4338.84,2011-02-24,2014-12-08,JC-16105,Julie Creighton,1,5,2076.0
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,465.16,-255.86,2,1,40.0,-55.01,721.02,2014-07-28,2014-07-28,RS-19420,Ricardo Sperren,1,2,465.16
FUR-BO-10000021,"Dania Corner Shelving, Metal",Furniture,Bookcases,243.06,102.06,2,1,0.0,41.99,141.0,2012-07-30,2012-07-30,CS-12490,Cindy Schnelling,1,2,243.06
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,2201.55,44.01,14,3,6.67,2.0,2157.54,2011-11-01,2013-09-28,Dl-13600,Dorris liebe,1,5,762.08
FUR-BO-10000034,"Safco Classic Bookcase, Pine",Furniture,Bookcases,1450.35,-659.25,5,3,36.67,-45.45,2109.6,2012-08-07,2014-04-22,VW-21775,Victoria Wilson,1,2,791.1
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,8308.14,3288.3,21,5,3.4,39.58,5019.84,2011-09-06,2014-04-02,BP-11185,Ben Peterman,1,7,2596.29
FUR-BO-10000038,"Bush Library with Doors, Pine",Furniture,Bookcases,2632.82,-1667.74,18,4,30.0,-63.34,4300.56,2011-09-12,2014-11-20,KA-16525,Kelly Andreada,1,5,975.12
FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,3046.23,1083.39,22,8,10.25,35.56,1962.84,2011-11-25,2014-05-24,AG-10675,Anna Gayman,1,5,546.98
FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,3153.33,12.21,8,3,12.33,0.39,3141.12,2012-06-04,2014-11-26,MH-17440,Mark Haberlin,1,5,2066.4
FUR-BO-10000087,"Sauder Corner Shelving, Pine",Furniture,Bookcases,2081.1,71.3,26,7,17.14,3.43,2009.8,2012-11-04,2014-12-15,MH-17440,Mark Haberlin,1,5,2066.4
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.17,-117.88,9,1,30.0,-14.29,943.06,2014-09-05,2014-09-05,HW-14935,Helen Wasserman,1,9,825.17
FUR-BO-10000112,"Dania Corner Shelving, Pine",Furniture,Bookcases,1568.67,235.32,15,5,18.4,15.0,1333.35,2012-01-13,2014-09-17,HW-14935,Helen Wasserman,1,9,825.17
FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,1262.65,220.15,10,2,30.0,17.44,1042.5,2014-05-16,2014-10-10,VM-21685,Valerie Mitchum,1,9,1189.24
FUR-BO-10000148,"Bush 3-Shelf Cabinet, Metal",Furniture,Bookcases,818.89,-228.53,11,4,20.0,-27.91,1047.42,2012-12-25,2014-11-10,MS-17365,Maribeth Schnelling,1,3,285.66
FUR-BO-10000155,"Dania Corner Shelving, Metal",Furniture,Bookcases,1798.64,509.84,20,4,30.0,28.35,1288.8,2012-09-01,2014-12-20,KM-16375,Katherine Murray,1,7,765.64
FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,Bookcases,704.05,312.91,2,1,10.0,44.44,391.14,2011-06-26,2011-06-26,BW-11200,Ben Wallace,1,2,704.05
FUR-BO-10000170,"Safco Library with Doors, Mobile",Furniture,Bookcases,4943.11,-274.97,14,2,10.0,-5.56,5218.08,2011-11-18,2012-06-23,DC-13285,Debra Catini,1,9,3177.71
FUR-BO-10000175,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,1934.33,440.54,17,5,7.4,22.77,1493.79,2011-06-25,2013-11-28,JP-15460,Jennifer Patt,1,5,567.49
FUR-BO-10000184,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,157.68,-145.86,3,1,60.0,-92.5,303.54,2013-06-24,2013-06-24,TB-21175,Thomas Boland,1,3,157.68
FUR-BO-10000195,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,1179.04,270.4,12,3,15.0,22.93,908.64,2013-06-05,2014-12-30,DK-12985,Darren Koutras,1,6,484.03
FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,6874.72,2608.84,19,6,6.17,37.95,4265.88,2012-05-15,2014-10-23,JF-15190,Jamie Frazer,1,7,2438.67
FUR-BO-10000208,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,3890.56,955.22,33,5,10.0,24.55,2935.35,2011-07-16,2014-10-23,CC-12610,Corey Catlett,1,14,1729.14
FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,8797.53,2158.95,26,8,4.62,24.54,6638.58,2011-11-14,2014-09-11,AB-10600,Ann Blume,1,7,2042.54
FUR-BO-10000214,"Ikea Library with Doors, Pine",Furniture,Bookcases,291.79,-393.95,3,1,60.0,-135.01,685.74,2012-08-26,2012-08-26,LC-16885,Lena Creighton,1,3,291.79
FUR-BO-10000243,"Safco Floating Shelf Set, Pine",Furniture,Bookcases,4690.77,585.69,28,4,13.5,12.49,4105.08,2012-11-22,2014-10-18,HG-14965,Henry Goldwyn,1,7,1386.63
FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,7667.62,858.58,21,6,10.0,11.2,6809.04,2011-03-01,2014-06-27,PF-19165,Philip Fox,1,5,1971.68
FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,2364.89,697.07,14,5,4.0,29.48,1667.82,2011-01-07,2014-04-06,TR-21325,Toby Ritter,2,4,655.96
FUR-BO-10000268,"Bush Library with Doors, Pine",Furniture,Bookcases,877.61,-424.27,4,2,30.0,-48.34,1301.88,2012-04-10,2013-03-02,LD-17005,Lisa DeCherney,1,3,548.5
FUR-BO-10000268,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,626.74,154.66,7,2,10.0,24.68,472.08,2014-06-24,2014-07-04,LD-17005,Lisa DeCherney,1,3,548.5
FUR-BO-10000269,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,893.59,194.19,13,5,20.0,21.73,699.4,2011-11-10,2014-11-26,BC-11125,Becky Castell,1,3,248.22
FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,Bookcases,6222.86,535.46,20,5,16.0,8.6,5687.4,2011-05-04,2014-09-17,SR-20425,Sharelle Roach,1,5,1854.5
FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,8368.66,-131.54,20,5,4.0,-1.57,8500.2,2012-03-27,2014-07-12,CR-12625,Corey Roper,1,7,2760.34
FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Furniture,Bookcases,1236.06,274.68,7,2,10.0,22.22,961.38,2014-08-12,2014-10-17,ZC-21910,Zuschuss Carroll,1,4,706.32
FUR-BO-10000321,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,893.72,-189.28,10,2,50.0,-21.18,1083.0,2013-12-05,2014-08-26,GZ-14470,Gary Zandusky,1,6,618.73
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,1064.62,24.2,10,3,10.0,2.27,1040.43,2011-11-28,2014-05-31,AG-10900,Arthur Gainer,1,4,411.33
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,2154.35,311.18,14,5,13.0,14.44,1843.16,2011-05-26,2013-06-05,GR-14560,Georgia Rosenberg,1,6,1025.88
FUR-BO-10000378,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,1288.9,46.0,15,4,25.0,3.57,1242.9,2012-10-03,2014-10-07,DR-12880,Dan Reichenbach,1,7,644.45
FUR-BO-10000402,"Sauder Stackable Bookrack, Traditional",Furniture,Bookcases,833.8,87.7,6,2,5.0,10.52,746.1,2012-06-07,2012-09-06,ML-18265,Muhammed Lee,1,3,438.84
FUR-BO-10000411,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,2820.05,1081.01,24,4,10.0,38.33,1739.04,2012-06-27,2014-05-19,AZ-10750,Annie Zypern,1,8,1034.88
FUR-BO-10000425,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,959.11,-41.21,8,2,20.0,-4.3,1000.32,2012-07-11,2013-07-11,CJ-11875,Carl Jackson,1,6,616.57
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,723.84,-133.11,21,6,18.33,-18.39,856.95,2011-08-08,2014-12-20,DM-12955,Dario Medina,1,4,194.32
FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases,7784.89,672.37,23,4,7.5,8.64,7112.52,2012-06-16,2014-09-18,AR-10510,Andrew Roberts,1,7,2546.46
FUR-BO-10000502,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,5437.52,525.92,20,6,10.0,9.67,4911.6,2011-07-18,2013-12-13,CC-12475,Cindy Chapman,1,5,1461.7
FUR-BO-10000514,"Bush Library with Doors, Traditional",Furniture,Bookcases,2586.67,-1220.54,11,3,23.33,-47.19,3807.21,2012-11-05,2014-11-21,IM-15070,Irene Maddox,1,7,1275.12
FUR-BO-10000517,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,260.35,-358.05,8,1,60.0,-137.52,618.4,2011-07-21,2011-07-21,EB-14170,Evan Bailliet,1,8,260.35
FUR-BO-10000533,"Dania Corner Shelving, Pine",Furniture,Bookcases,493.68,54.24,4,1,0.0,10.99,439.44,2014-12-14,2014-12-14,EB-13870,Emily Burns,1,4,493.68
FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,10638.16,889.2,43,8,20.0,8.36,9748.96,2011-05-18,2014-09-11,TB-21250,Tim Brockman,1,9,2615.94
FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,9033.31,3244.51,24,6,15.0,35.92,5788.8,2012-09-07,2014-10-27,TH-21100,Thea Hendricks,1,6,2367.95
FUR-BO-10000610,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,1377.35,547.82,13,4,11.0,39.77,829.53,2011-03-22,2014-04-21,SS-20590,Sonia Sunley,1,4,500.4
FUR-BO-10000616,"Dania Corner Shelving, Pine",Furniture,Bookcases,444.31,-89.03,6,1,40.0,-20.04,533.34,2012-06-18,2012-06-18,EC-14050,Erin Creighton,1,6,444.31
FUR-BO-10000623,"Safco Library with Doors, Metal",Furniture,Bookcases,311.4,-373.68,2,1,60.0,-120.0,685.08,2014-11-07,2014-11-07,CC-12685,Craig Carroll,1,2,311.4
FUR-BO-10000624,"Safco Classic Bookcase, Metal",Furniture,Bookcases,6301.58,-70.5,26,7,14.29,-1.12,6372.08,2011-11-24,2014-07-24,RB-19435,Richard Bierner,1,8,1867.14
FUR-BO-10000636,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,1688.1,492.9,18,5,12.0,29.2,1195.2,2012-04-18,2014-10-08,TG-21640,Trudy Glocke,1,6,540.19
FUR-BO-10000655,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,1109.05,86.2,3,1,10.0,7.77,1022.85,2014-12-23,2014-12-23,ME-17320,Maria Etezadi,1,3,1109.05
FUR-BO-10000666,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1304.64,182.52,9,2,0.0,13.99,1122.12,2012-01-26,2014-02-03,TG-21640,Trudy Glocke,1,7,1014.72
FUR-BO-10000668,"Ikea Corner Shelving, Traditional",Furniture,Bookcases,246.12,66.42,2,1,0.0,26.99,179.7,2014-05-22,2014-05-22,KM-16660,Khloe Miller,1,5,2039.07
FUR-BO-10000668,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,3130.96,43.84,8,3,17.0,1.4,3087.12,2013-10-10,2014-07-22,KM-16660,Khloe Miller,1,5,2039.07
FUR-BO-10000670,"Dania Corner Shelving, Metal",Furniture,Bookcases,3062.56,947.56,30,5,12.0,30.94,2115.0,2013-07-08,2014-12-31,KH-16330,Katharine Harms,1,8,972.24
FUR-BO-10000676,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1361.12,-554.56,16,3,28.33,-40.74,1915.68,2012-05-16,2014-12-16,CS-11845,Cari Sayre,1,5,630.15
FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,2106.39,-85.77,16,5,16.0,-4.07,2192.16,2011-07-28,2014-04-07,JC-15340,Jasper Cacioppo,1,8,1060.56
FUR-BO-10000699,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,3798.64,238.24,24,6,6.17,6.27,3560.4,2012-08-17,2014-08-21,KH-16510,Keith Herrera,1,8,1333.44
FUR-BO-10000700,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,232.85,-97.03,2,1,40.0,-41.67,329.88,2014-02-04,2014-02-04,JC-15385,Jenna Caffey,1,2,232.85
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,851.76,229.98,12,2,0.0,27.0,621.78,2011-06-14,2011-08-19,LH-16900,Lena Hernandez,1,9,638.82
FUR-BO-10000712,"Bush Corner Shelving, Pine",Furniture,Bookcases,250.68,112.8,2,1,0.0,45.0,137.88,2012-11-13,2012-11-13,BS-11755,Bruce Stewart,1,2,250.68
FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,3369.13,1112.89,28,6,1.67,33.03,2256.24,2011-01-03,2014-02-05,DV-13045,Darrin Van Huff,1,8,1767.55
FUR-BO-10000728,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,7014.97,982.65,28,7,5.71,14.01,6032.32,2011-10-12,2014-11-25,DV-13045,Darrin Van Huff,1,8,1767.55
FUR-BO-10000734,"Bush Corner Shelving, Pine",Furniture,Bookcases,1253.4,183.8,20,7,22.86,14.66,1069.6,2011-06-17,2013-10-02,MC-17425,Mark Cousins,1,4,267.39
FUR-BO-10000746,"Ikea Corner Shelving, Mobile",Furniture,Bookcases,1322.78,511.2,17,5,8.0,38.65,811.58,2012-11-08,2014-10-22,AT-10735,Annie Thurman,1,5,418.6
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.37,-767.74,22,5,33.2,-26.06,3714.11,2012-08-16,2014-11-25,EP-13915,Emily Phan,1,7,956.66
FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,3304.19,1123.1,23,4,2.5,33.99,2181.09,2013-08-20,2014-08-19,RD-19720,Roger Demir,1,7,1037.19
FUR-BO-10000791,"Dania Library with Doors, Traditional",Furniture,Bookcases,483.2,-579.9,5,1,60.0,-120.01,1063.1,2013-11-14,2013-11-14,LP-17080,Liz Pelletier,1,5,483.2
FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,1072.2,71.34,7,3,10.0,6.65,1000.86,2013-09-23,2014-08-25,MA-17560,Matt Abelman,1,3,459.51
FUR-BO-10000807,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,473.04,-23.76,4,1,40.0,-5.02,496.8,2014-09-30,2014-09-30,AD-10180,Alan Dominguez,1,4,473.04
FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,598.1,166.1,4,1,10.0,27.77,432.0,2014-06-21,2014-06-21,BM-11650,Brian Moss,1,4,598.1
FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Furniture,Bookcases,2006.24,712.34,19,5,16.0,35.51,1293.9,2011-06-13,2014-12-23,MC-18100,Mick Crebagga,1,6,729.54
FUR-BO-10000883,"Dania Corner Shelving, Mobile",Furniture,Bookcases,950.62,-36.26,8,2,18.5,-3.81,986.88,2012-10-05,2013-08-04,EH-13765,Edward Hooks,1,7,872.13
FUR-BO-10000889,"Safco 3-Shelf Cabinet, Mobile",Furniture,Bookcases,205.63,-85.73,2,1,40.0,-41.69,291.36,2013-10-03,2013-10-03,CK-12205,Chloris Kastensmidt,1,2,205.63
FUR-BO-10000891,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,3470.04,-396.72,18,4,30.0,-11.43,3866.76,2011-06-05,2014-10-24,NM-18520,Neoma Murray,1,6,1321.92
FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,Bookcases,759.06,15.12,6,1,0.0,1.99,743.94,2014-01-28,2014-01-28,CG-12040,Catherine Glotzbach,1,6,759.06
FUR-BO-10000895,"Sauder Corner Shelving, Metal",Furniture,Bookcases,1394.22,352.02,10,4,5.0,25.25,1042.2,2011-06-13,2013-11-01,CM-12445,Chuck Magee,1,6,582.43
FUR-BO-10000895,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,582.43,26.77,6,1,35.0,4.6,555.66,2014-01-22,2014-01-22,CM-12445,Chuck Magee,1,6,582.43
FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,1866.84,321.78,11,4,2.5,17.24,1545.06,2011-08-21,2013-02-04,LE-16810,Laurel Elliston,1,5,856.35
FUR-BO-10000961,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,2197.54,519.22,21,5,14.0,23.63,1678.32,2012-08-27,2014-11-08,SO-20335,Sean O'Donnell,1,7,786.62
FUR-BO-10000967,"Ikea Library with Doors, Pine",Furniture,Bookcases,6346.48,970.12,22,5,24.0,15.29,5376.36,2011-02-02,2014-12-24,GZ-14470,Gary Zandusky,1,7,2553.18
FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,5289.93,1792.08,15,7,4.86,33.88,3497.85,2012-09-10,2014-10-22,CJ-11875,Carl Jackson,1,5,1821.6
